,name,JASPAR,cluster
88,Nobox,JASPAR_vertebrates_CORE_MA0125.2_n825,86
89,Znf354c,JASPAR_vertebrates_CORE_MA0130.1_n10,70
90,Hinfp,JASPAR_vertebrates_CORE_MA0131.3_n405,8
91,Pdx1,JASPAR_vertebrates_CORE_MA0132.3_n559,106
92,Lhx3,JASPAR_vertebrates_CORE_MA0135.2_n807,47
93,Elf5,JASPAR_vertebrates_CORE_MA0136.4_n781,31
94,Stat1,JASPAR_vertebrates_CORE_MA0137.4_n628,85
95,Rest,JASPAR_vertebrates_CORE_MA0138.3_n590,32
96,Ctcf,JASPAR_vertebrates_CORE_MA0139.2_n246,14
97,Gata1::tal1,JASPAR_vertebrates_CORE_MA0140.3_n378,27
98,Esrrb,JASPAR_vertebrates_CORE_MA0141.4_n307,54
99,Pou5f1::sox2,JASPAR_vertebrates_CORE_MA0142.1_n11,57
100,Sox2,JASPAR_vertebrates_CORE_MA0143.5_n386,143
101,Stat3,JASPAR_vertebrates_CORE_MA0144.3_n630,85
102,Tfcp2l1,JASPAR_vertebrates_CORE_MA0145.2_n17,14
103,Zfx,JASPAR_vertebrates_CORE_MA0146.3_n874,144
104,Myc,JASPAR_vertebrates_CORE_MA0147.4_n477,21
105,Foxa1,JASPAR_vertebrates_CORE_MA0148.5_n356,5
106,Ewsr1-fli1,JASPAR_vertebrates_CORE_MA0149.1_n12,33
107,Nfe2l2,JASPAR_vertebrates_CORE_MA0150.3_n821,36
108,Arid3a,JASPAR_vertebrates_CORE_MA0151.1_n13,2
109,Nfatc2,JASPAR_vertebrates_CORE_MA0152.3_n820,51
110,Hnf1b,JASPAR_vertebrates_CORE_MA0153.2_n32,62
111,Ebf1,JASPAR_vertebrates_CORE_MA0154.5_n268,111
112,Insm1,JASPAR_vertebrates_CORE_MA0155.1_n14,64
113,Fev,JASPAR_vertebrates_CORE_MA0156.4_n329,83
114,Foxo3,JASPAR_vertebrates_CORE_MA0157.4_n788,5
115,Hoxa5,JASPAR_vertebrates_CORE_MA0158.2_n139,141
116,Rara::rxra,JASPAR_vertebrates_CORE_MA0159.1_n15,6
